,comment,date
34,"Photo by 노희영 on September 06, 2020. 이미지: 문구: '2014.04 y.k 00 0 HAPPY BIRTHDAY!'.","September 06, 2020"
35,#제주도가고싶다 🏖 #가을제주도 🍁 #예쁜데 ❤ #옛날영화 🎬 #영화 #연풍연가 🌿 #장동건 #고소영 #영화ost 🎵 #주영훈 #우리사랑이대로 💕 #명장면 #시간흘러가 #삶이힘겨울때 😭 #서로어깨에기대기로해요,
36,"Photo shared by 김지원 🌸 딩원~❤ KIM JI WON ❤ on June 11, 2020 tagging @salt_ent, and @geewonii. 이미지: 사람 3명, 근접 촬영.","June 11, 2020"
37,"#장동건 #박채림 #이브의모든것 
#張東健 #朴蔡琳
 #allabouteve #allaboutevekdrama #jangdonggun #chaerim #mbckorea #korea #kdrama #koreandrama #kdramascenes #happy #couple#together #drakor #drakorindo #bias #mbcdrama#mbc #viral",
38,"Photo by Young Wook Kim on May 02, 2020. 이미지: 사람 1명, 앉기.","May 02, 2020"
39,"Photo shared by 김지원 🌸 딩원~❤ KIM JI WON ❤ on May 06, 2020 tagging @salt_ent, and @geewonii. 이미지: 사람 1명, 텍스트.","May 06, 2020"
40,"Photo by ARTHDAL CHRONICLES 아스달연대기 on May 24, 2020. 이미지: 사람 11명, 앉아 있는 사람들, 실내.","May 24, 2020"
41,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on May 18, 2020 tagging @netflixkr, @gonahyimam, and @tvndrama.official. 이미지: 사람 1명, 어린이, 실외.","May 18, 2020"
42,"Photo by SOLARTAN in 쏠라태닝&스튜디오 with @solartan. 이미지: 사람 2명, 서 있는 사람들, 실외.",
43,"Photo by ㅈㄱㅇ on February 28, 2020. 이미지: 사람 10명.","February 28, 2020"
44,"화장품 광고 아닙니다
#레디큐 #숙취해소제
가끔 나의 광고를 보고 나면
상품은 기억 안 나고 
내 얼굴만 기억에 남는다고들
말씀하신다
앵커를 장동건 님이 하면
뉴스 내용은 기억 안 나고 
그의 얼굴만 기억에 남는 것과
같은 원리다 
#장동건 #장성규 #평행이론
이런 리스크를 감수하면서까지
나를 모델로 써주시는 광고주들께
깊은 감사의 마음을 전합니다
#하이리스크하이리턴
#하이원리조트",
45,"Photo shared by ARTHDAL CHRONICLES INDONESIA on June 30, 2020 tagging @arthdalchronicles, and @arthdalchroniclesofficial. 이미지: 사람 6명.","June 30, 2020"
46,"ฝากคำว่าคิดถึง ให้เธออยู่เสมอ
แม้ไม่ได้เจอฉันก็สุขใจ
หากชีวิตไม่สิ้น ฉันจะกลับเอารักมาให้
เธอโปรดจำไว้วันที่ฉันรอ

ดู The Golden Song เวทีเพลงเพราะ มีคนเอาเพลงรอวันฉันรักเธอ ของคีรีบูนมาร้อง ชวนให้นึกถึงตอนเด็กๆ เลย

#창궐 #rampant #changgwol #尸杀帝国 #猖獗 
#장동건 #jangdonggun #チャンドンゴン #张东健 #ชางดงกอน #jangdonggunssi #jdgoppa #김자준 
#현빈 #ヒョンビン #玄彬 #이청 #koreamovie #김성훈감독 #조우진 #ยุทธจักรนรกซอมบี้คลั่ง #นครนรกซอมบี้คลั่ง #smile #ยิ้มละลาย",
47,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on March 28, 2020 tagging @kidohun. 이미지: 사람 2명, 앉아 있는 사람들, 실내.","March 28, 2020"
48,"Photo by 수려한님 on June 20, 2020. 이미지: 사람 1명.","June 20, 2020"
49,"See you next season 2, Ipsaeng ♥️
Thank you @jangsu.park for update with cast of Arthdal Chronicles ⚔️",
50,"-
#oneyearwitharthdalchronicles 
1.6.2019...
مرت سنه على اول عرض لارثدال🥺🥺😭♥️ وللمره المليار اقول ياحظ الي ماشافوه اهه بس متى يجي ٢٠٢١ 😔
#ᴋɪᴅʀᴍᴀᴇᴅɪᴛs",
51,"Photo by 竹田哲朗 타케다테츠로(철낭) Tetsuro Takeda on March 31, 2020. 이미지: 사람 3명.","March 31, 2020"
52,"Photo by @eeyujs on February 27, 2020. 이미지: 문구: 'WITH JUSTICE AND PEACE FOR ALL m jang jangdongk ngkun THANKS ΤΟ'.","February 27, 2020"
53,"~ COMING SOON
See you next season 2 of Arthdal Chronicles in 2021",
54,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on March 31, 2020 tagging @geewonii. 사진 설명이 없습니다..","March 31, 2020"
55,"#장동건 #내친구
장동건은 자라서 훗날 내친구가 됩니다
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
-
#FantaMorph #친구 #BestFriend #베프 #절친 #베스트프렌드 #잘생김 #",
56,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on February 01, 2020 tagging @geewonii, and @ockchool. 이미지: 사람 4명.","February 01, 2020"
57,"collab with alex :)
ac kuteaudios 
[ #sageukgrp #sageukcouplesevent ]
let's ignore my glitchy part and enjoy alex's :)))",
58,"~ NEW
Kim Ji Won as Niruha Tanya for Arthdal Chronicles / See you next season 2 in 2021
Repost from @salt_ent ・・・
#김지원 #Kimjiwon #金智媛
🍜김지원 배우의 ‘신라면건면’ 
광고 촬영 현장!
-
풀버전 영상이 보고 싶으시다고요?
내일(16일, 화)까지만 기다려주세요😉
-",
59,"Photo shared by ♡Korea kimjiwon fan♡ on April 07, 2020 tagging @geewonii. 이미지: 사람 1명, 근접 촬영.","April 07, 2020"
60,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on April 15, 2020 tagging @geewonii. 이미지: 사람 4명, 문구: '品 L eunseomsong'.","April 15, 2020"
61,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on August 22, 2020 tagging @kimokvin, @salt_ent, @kidohun, @geewonii, and @historydnc. 이미지: 문구: 'Netflix halts filming for all their Korean contents due to the rising number ofCOVID-19 cases Source: n.news.naver.com entertain/ now/... NETFLIX 4:20 22Aug 22 Aug 20 Twitter for Android'.","August 22, 2020"
62,"#장동건 #박채림 #이브의모든것 
#張東健 #朴蔡琳
 #allabouteve #allaboutevekdrama #jangdonggun #chaerim #mbckorea #korea #kdrama #koreandrama #kdramascenes #happy #couple#together #drakor #drakorindo #bias #mbcdrama#mbc #viral",
63,"Photo by sayaka on April 05, 2020. 이미지: 사람 14명.","April 05, 2020"
64,~ “Arthdal Chronicles” Cast is Perfect 💜,
65,"#Repost @binjin2511 @download.ins
---
With Jang DongGun wife and Hyunbin close friend/girlfriend😉😍
#rampantmovie #장동건 #고서영 #현빈 #손예진",
66,"Photo by 뽀롱뽀롱 끄적끄적 on March 07, 2020. 이미지: 침실, 실내.","March 07, 2020"
67,"~ KimKim Is My Favorite 💜💜♥️♥️
Kim Ji Won and Kim Ok Vin as Niruha Tanya and Queen Taealha for “Arthdal Chronicles” // See you next season 2 in 2021",
68,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on March 24, 2020 tagging @_parkjiwon___. 이미지: 사람 1명 이상, 서 있는 사람들, 문구: '[아사무가 기괴하게 웃는다]'.","March 24, 2020"
69,"Photo shared by natsu on April 28, 2020 tagging @kimokvin, and @geewonii. 이미지: 사람 10명, 텍스트.","April 28, 2020"
70,"Photo by 🍑 on February 18, 2020. 이미지: 사람 1명.","February 18, 2020"
71,"Photo shared by 김지원 🌸 딩원~❤ KIM JI WON ❤ on June 08, 2020 tagging @salt_ent, and @geewonii. 이미지: 사람 1명.","June 08, 2020"
72,"Photo by ❤ 你来了一下子 却改变了我一辈子。 on April 12, 2020. 이미지: 사람 4명, 텍스트.","April 12, 2020"
73,"Photo shared by علي Ali on April 12, 2020 tagging @jongsuk0206. 이미지: 사람 3명, 텍스트.","April 12, 2020"
74,"~ This is my favorite 🥰
See you next season 2, Saya and Niruha Tanya",
75,"Photo by Shake_korea on May 28, 2020. 이미지: 사람 1명, 근접 촬영.","May 28, 2020"
76,"살면서 이런 친구 한명이라도 있으면

성공한 삶이라 했다.

그럼 나는 성공한 삶인가 보다.

#드라마 #드라마추천 #드라마명장면 #sbs #sbs드라마 #종영드라마 #신사의품격 #신사의품격16화 #프롤로그 #장동건 #김민종 #김수로 #이종혁",
77,"Photo by 사이비헌터 on August 31, 2020. 이미지: 사람 1명 이상.","August 31, 2020"
78,"Photo by ᴊᴀᴋᴛᴏᴏɴɢᴊᴀᴍᴇꜱ ꜰʀᴏᴍ ʜᴀᴡᴀɪɪ🤙 on June 11, 2020. 이미지: 화면.","June 11, 2020"
79,"Photo by 인사이트 엔터테인먼트 on February 12, 2020. 이미지: 사람 1명, 실외, 문구: '인사이트 송중기X장동건 전쟁 예고하며 끝났던 '아스달 연대기', 새 시즌으로 돌아온다 tvN '아스달 연대기''.","February 12, 2020"
80,"Photo by 영화 홍보사_ 플래닛 on September 11, 2020. 이미지: 사람 1명, 문구: '2 7년의밤 7년의 밤 (Seven Years of 20.6% (65,574'.","September 11, 2020"
81,"Photo by Akira H.C.L on May 14, 2020. 이미지: 사람 2명, 서 있는 사람들, 정장.","May 14, 2020"
82,"Photo shared by 김지원 🌸 딩원~❤ KIM JI WON ❤ on February 01, 2020 tagging @geewonii. 이미지: 사람 3명.","February 01, 2020"
83,"Photo by myu on February 11, 2020. 이미지: 사람 2명.","February 11, 2020"
84,"Photo by 이정미 on May 12, 2020. 이미지: 사람 6명, 서 있는 사람들, 실내.","May 12, 2020"
85,"キラッ✨キラ✨✨スンホ二😍💕💕 호화 한류 스타 멋집니다💖💖💖💖
韓流フォーカード
from https://youtu.be/dSBAbA_caNA
.
#이병헌 #장동건 #원빈
#송승헌  #songseungheon
#ソンスンホン
@songseungheon1005

From @ari.k7531",
86,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on February 01, 2020 tagging @ockchool. 이미지: 사람 12명.","February 01, 2020"
87,"Photo shared by 껌데가르송❤ on February 20, 2020 tagging @kyeong_a_ya. 이미지: 음료, 실내, 음식.","February 20, 2020"
88,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on August 20, 2020 tagging @kidohun, and @geewonii. 이미지: 그림.","August 20, 2020"
89,"내가 니 씨다바리가?
.
.
.
#아들 #43개월 #아들스타그램 #친구
#장동건 #카리스마 #주말 #가족 #사랑해",
90,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on April 16, 2020 tagging @sooyaaa__. 이미지: 사람 2명, 문구: 'allkpop IG ARTHDALCHRONICLES Jisoo is removed from the 'YG Stage' page, YG Entertainment's acting label'.","April 16, 2020"
91,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on May 02, 2020 tagging @kimokvin. 이미지: 밤.","May 02, 2020"
92,"⠀
#장동건수박먹방
⠀
고급스킬 : 수박 하모니카 🤓🤓
⠀
#목에담올수있음주의
#11살 #말티즈 #내늙은강아지
#장동건 #애견인 #강아지그램 #애견인맞팔환영🙌 #강아지수박
⠀
아참, 저 양말은 노즈워크 한거임니당,,
주인놈이 벗어논 양말 아님니당,,,
레알임 🙂🙂 (진짜륭..)
⠀
#강아지노즈워크 #강아지간식
⠀
⠀",
93,"Photo shared by Misaki on August 22, 2020 tagging @jongsuk0206, and @park_hee_soon. 이미지: 사람 6명, 텍스트.","August 22, 2020"
94,"Photo by 🔥榮光🔥 on July 22, 2020. 이미지: 사람 1명 이상, 모자.","July 22, 2020"
95,"~ New family 💕
See you next season 2, Couple TaTa (Tagon & Taealha)!!
.
Repost from @kimokvin_fan_id ・・・
Welcoming Tata baby next year 🔜

What do you think, is the baby boy or girl?
What's the name of this new species? The baby's is from dad Igutu and mommy possibly Saram?
What's color the baby blood?

I have no idea, but it's definitely special 💕

I will wait for you baby, see you soon ❤️ CR : arthdal chronicles navertv",
96,"Photo by 컬러스포토 일산점 on June 23, 2020. 이미지: 사람 1명 이상, 모자, 실내.","June 23, 2020"
97,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on April 20, 2020 tagging @phs1116, and @jongsuk0206. 이미지: 사람 8명, 문구: ')밤9 첫방송 시 박진우 IG ARTHDALCHRONICLES CHRO RTHDA CLES 10시 alamy'.","April 20, 2020"
98,"Photo by PLANNING BEE on March 03, 2020. 이미지: 사람 1명 이상.","March 03, 2020"
99,"Photo by 봄이(오글봄) 일기장 in Pohang with @_sinsobom_0._.0, and @im_sonny.91. 이미지: 실외.",
100,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on March 16, 2020 tagging @ko_sangho. 이미지: 사람 2명, 문구: 'IG IG ARTHDALCHRONICLES'.","March 16, 2020"
101,"Photo by 박경관 on September 02, 2020. 이미지: 사람 1명, 셀카, 근접 촬영.","September 02, 2020"
102,"Photo shared by ARTHDAL CHRONICLES INDONESIA on June 13, 2020 tagging @arthdalchronicles, @geewonii, and @arthdalchroniclesofficial. 이미지: 사람 1명 이상, 텍스트.","June 13, 2020"
103,"🎬 ""My Dear Loser Series: Monster Romance"" 😍😍⁣⁣⁣⁣
.⁣⁣⁣⁣
.⁣⁣⁣⁣
🎬 YANG UDAH NONTON GIMANA PENDAPATNYA? WRITE ON COMMENTS⁣⁣⁣⁣
❤ TAG SAHABAT KAMU UNTUK JOIN BARENG DISINI.⁣⁣⁣⁣
JANGAN LUPA TURN ON NOTIFICATIONS ❤⁣⁣⁣⁣
.⁣⁣⁣⁣
.⁣⁣⁣⁣
.⁣⁣⁣⁣
.⁣⁣⁣⁣
.⁣⁣⁣⁣
#indokdrama #송중기 #송혜교 #본방사수는나의길 #thewindblows #kdramaseries #leesieon #deathsong #hanhyojoo #jingoo #dojiwon #아스달연대기 #장동건 #태양의후예 #jangdonggun #asadalchronicles #arthdalchronicles #은섬 #宋仲基 #김옥빈 #토일드라마 #kdramafever #kdramaworld #dramakorean #loveaffairsintheafternoon#absoluteboyfriend",
104,"Photo by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on March 15, 2020. 이미지: 구름, 하늘, 텍스트.","March 15, 2020"
105,"Photo by Hyosung's world on August 01, 2020. 이미지: 사람 1명, 앉기, 실내.","August 01, 2020"
106,"Photo by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on February 13, 2020. 이미지: 사람 2명, 턱수염, 문구: 'IG| G|ARTHDALCHRONICLES Arthdal Chronicles Season 2 officially confirmed 1$ Will reportedly begin producing Season 2 as early as September or october'.","February 13, 2020"
107,"Photo by 김새댁 ఇ on February 12, 2020. 이미지: 사람 1명, 하늘, 바다, 실외, 물.","February 12, 2020"
108,"Photo by miho on July 29, 2020. 이미지: 사람 1명, 화면.","July 29, 2020"
109,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on August 04, 2020 tagging @netflixkr, and @historydnc. 이미지: 사람 4명, 서 있는 사람들, 어린이.","August 04, 2020"
110,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on May 17, 2020 tagging @eunoorang. 이미지: 사람 2명, 실외, 문구: 'L eunoorang'.","May 17, 2020"
111,"Photo by 전광융 on July 16, 2020. 이미지: 사람 1명, 근접 촬영.","July 16, 2020"
112,"Photo shared by 𝕒𝕪𝕒𝕟𝕠 on March 21, 2020 tagging @phs1116, @chae_jungan, and @krnangel621. 이미지: 사람 4명, 문구: 'SUITS スーツ 運命の選択 命'.","March 21, 2020"
113,"Photo by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on May 03, 2020. 이미지: 사람 1명, 텍스트.","May 03, 2020"
114,"Photo shared by yu on May 12, 2020 tagging @actorjonghyuk, @kim__soo__ro, @yjyoonjin, and @haneul_jin. 이미지: 사람 6명, 서 있는 사람들, 정장.","May 12, 2020"
115,"Photo by La Vantano 최대표 in 라반타노 La Vantano. 이미지: 사람 1명 이상, 서 있는 사람들, 정장.",
116,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on June 08, 2020 tagging @kimokvin, @netflixkr, and @tvndrama.official. 이미지: 사람 6명.","June 08, 2020"
117,"Photo shared by 아이웨딩 웨딩홀 on June 18, 2020 tagging @iwedding_official. 이미지: 사람 1명, 결혼식.","June 18, 2020"
118,"Saya & Tanya ~ “Arthdal Chronicles” Season 1 now streaming on Netflix.
.
Thank you for all the affection you give me, love! My half-sister and her husband 'feeling better' after Covid-19 diagnosis. My mother is not Covid-19, thank God she is better. Thany you for praying! People I love you!! 🙏🏽
.
Thanks @kayougn for support Arthdal Chronicles 💜 Perfect edit!!
・・・
the bell & the mirror
for kash <3 | cc. morekdramasedits",
119,"Photo by 미소천사 행국이 on January 29, 2020. 이미지: 개.","January 29, 2020"
120,"Photo by 뉴스1(news1) on February 05, 2020. 이미지: 사람 2명, 문구: ''가세연' 김용호 ""장동건 힘들어 약에 의지"" ...고소영도 큰 상처 입은듯"" VER 에서 몰려와 려 어떤'.","February 05, 2020"
121,"Photo by 陳曼蒂🌻TMI on March 19, 2020. 이미지: 사람 10명.","March 19, 2020"
122,"Photo by 食力foodNEXT on April 20, 2020. 이미지: 사람 2명, 텍스트.","April 20, 2020"
123,"Photo by kiru+movie+ost on June 08, 2020. 이미지: 사람 2명.","June 08, 2020"
124,"Photo by 행복이네 on April 24, 2020. 이미지: 개.","April 24, 2020"
125,"Photo by @banbuzzi on July 27, 2020. 이미지: 음료.","July 27, 2020"
126,"KYO so beautiful 😍 
.
.
#kimjiwon #김지원 #장동건  #kdrama #dramakorea# songhyekyo#kyo#uaa##songhyekyo #song#송혜교#kyo1122#summer##boyfriend
.
.
Repost by @ellehongkong",
127,"#돌아온다고했잖아요 :

잊지말자.
감사하자.

#태극기휘날리며 #625전쟁70주년
#동족상잔의비극 #전쟁 #war
#한국 #韓國 #KOREA
#영화 #movie #film #장면 #scene
#장동건 #원빈 #전쟁영화
#슬픔 #sad #눈물 #감동 #melancholy
#비극 #tragedy
#감사합니다
#참전용사분들께감사드립니다",
128,Photo by 청주맛집 삼겹살 수제소세지 로얄생고기 in 로얄생고기. 이미지: 사람 1명 이상.,
129,"송중기씨, 다시 만나요!! 🥰
—
repost from @noonaofmanila",
130,"Photo by kaoru0071💋 on June 10, 2020. 이미지: 사람 1명, 텍스트.","June 10, 2020"
131,"Photo by 🏅뽀영 on March 10, 2020. 이미지: 문구: '살생긴 남자들 의 공 공통점'.","March 10, 2020"
132,"Photo by Sungyul Cho on February 02, 2020. 이미지: 사람 1명 이상, 앉아 있는 사람들, 문구: 'Nhere Do I Begin (Away Shirley Bassey'.","February 02, 2020"
133,"Photo by 해방곱창신대점 on March 20, 2020. 이미지: 사람 1명, 음식.","March 20, 2020"
134,"Photo shared by ARTHDAL CHRONICLES INDONESIA on July 08, 2020 tagging @kidohun, @arthdalchronicles, and @arthdalchroniclesofficial. 이미지: 사람 2명, 악기를 연주하는 사람들, 실외.","July 08, 2020"
135,"Photo by ❤ 你来了一下子 却改变了我一辈子。 on August 26, 2020. 이미지: 사람 1명.","August 26, 2020"
136,"Photo shared by Only Moon Woo Jin 문우진 on July 08, 2020 tagging @wj_2009, and @t1_entertainment. 이미지: 사람 1명.","July 08, 2020"
137,"sedih akutuh 😞😞😞😞
.
.
.
#장동건 #박채림 #이브의모든것 
#張東健 #朴蔡琳
 #allabouteve #allaboutevekdrama #jangdonggun #chaerim #mbckorea #korea #kdrama #koreandrama #kdramascenes #happy #couple#together #drakor #drakorindo #bias #mbcdrama#mbc #viral",
138,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on May 03, 2020 tagging @netflix, @kidohun, and @netflixkr. 이미지: 사람 1명, 문구: 'IG ARTHDALCHRONICLES AA GODDAMN RIGHT, YOU SHOULD BE SCARED OF ME'.","May 03, 2020"
139,"Photo by @ah_mollang on August 22, 2020. 이미지: 개, 실외.","August 22, 2020"
140,"Photo by 𝙃𝙔𝙐𝙉𝘽𝙄𝙉 𝙁𝘼𝙉  ✨빈그레✨ on March 31, 2020. 이미지: 사람 5명, 실내.","March 31, 2020"
141,"장기화 된 코로나19사태로
많이 지치고 힘든 여러분들께 조금의 힐링이 되길 바라며, 팬분들께 작은 선물의 의미를 담아 만든 
강소리의 2집 타이틀곡 <하와이 부르스>의 뮤비입니다.
재미있게 봐주시고, 모두 힘내시어 잘 이겨내고 현장에서 자주 뵙길 기원합니다. 힘내세요~~🙏🙏🙏
(※전체영상은 유튜브에서 강소리의 공식채널 '깡쇼tv'에 공개되었으니 검색하셔서 구독과 좋아요 부탁드립니다^^)
-
-
-
#트로트비너스 #강소리
#하와이부르스 #뮤직비디오
#정실장우정출연 건달로출연?!
#영화 #친구
#장동건 을 따라한 #마동석 느낌인가ㅋ
#재밋게봐주세요
-----------------------------------------------
📽영상촬영,편집은 @space_music_entertainment 에서  도움주셨습니다.
(영상제작,뮤비제작을 저렴하게 고퀄리티로 원하신다면 스페이스뮤직으로 문의주세요)",
